id,platform,text,timestamp
41,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-15 06:37:00
42,X,"Water shortage again, people a suffer.",2025-10-16 12:43:00
43,X,PM's speech today was inspiring! 🙌,2025-10-15 21:53:00
44,X,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 21:34:00
45,YouTube,"That movie was epic, totally worth it 🎬",2025-10-15 01:07:00
46,X,Hope the new law improves public services 📜,2025-10-15 11:38:00
47,YouTube,"Budget proposals are out, what do you think? 💰",2025-10-15 14:42:00
48,Instagram,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 14:09:00
49,YouTube,"Crime rates are going up, stay safe out there 🚨",2025-10-15 00:25:00
50,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-16 14:27:00
51,YouTube,Hope the new law improves public services 📜,2025-10-16 21:44:00
52,YouTube,Did you see that crazy goal last night? ⚽,2025-10-17 01:29:00
53,YouTube,Training hard for the upcoming marathon 🏃‍♂️,2025-10-15 17:40:00
54,Instagram,Our team won the championship! 🏆,2025-10-17 11:34:00
55,YouTube,Di bus never show up again 😩,2025-10-16 03:31:00
56,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-16 07:25:00
57,Instagram,Mi glad fi see di Reggae Boyz win dem match!,2025-10-16 18:36:00
58,Instagram,"New album just dropped, it's fire 🔥",2025-10-15 05:09:00
59,Instagram,Did you see that crazy goal last night? ⚽,2025-10-16 22:22:00
60,YouTube,"Crime rates are going up, stay safe out there 🚨",2025-10-16 08:06:00
61,X,Cost of living is ridiculous these days 😓,2025-10-16 02:36:00
62,Instagram,Our team won the championship! 🏆,2025-10-17 00:32:00
63,X,Did you see that crazy goal last night? ⚽,2025-10-15 03:00:00
64,YouTube,Government needs to do more for the people 😠,2025-10-17 23:53:00
65,YouTube,Our team won the championship! 🏆,2025-10-17 23:11:00
66,X,Government needs to do more for the people 😠,2025-10-16 12:34:00
67,X,Our team won the championship! 🏆,2025-10-17 07:25:00
68,X,"Budget proposals are out, what do you think? 💰",2025-10-15 07:26:00
69,YouTube,"New album just dropped, it's fire 🔥",2025-10-16 23:44:00
70,YouTube,Gas prices are killing me today 😤,2025-10-17 16:21:00
71,X,Hope the new law improves public services 📜,2025-10-17 15:48:00
72,Instagram,Cost of living is ridiculous these days 😓,2025-10-16 12:57:00
73,X,Hope the new law improves public services 📜,2025-10-16 17:21:00
74,YouTube,"New album just dropped, it's fire 🔥",2025-10-17 14:50:00
75,YouTube,"New album just dropped, it's fire 🔥",2025-10-16 13:07:00
76,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 10:16:00
77,X,"Budget proposals are out, what do you think? 💰",2025-10-16 13:01:00
78,YouTube,Di bus never show up again 😩,2025-10-17 19:44:00
79,Instagram,PM's speech today was inspiring! 🙌,2025-10-16 17:23:00
80,X,Training hard for the upcoming marathon 🏃‍♂️,2025-10-15 05:56:00
81,Instagram,Hope the new law improves public services 📜,2025-10-17 00:17:00
82,X,"Budget proposals are out, what do you think? 💰",2025-10-15 23:14:00
83,X,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 02:14:00
84,Instagram,Can’t believe another shooting happened last night 😡,2025-10-16 13:25:00
85,Instagram,Our team won the championship! 🏆,2025-10-16 15:36:00
86,Instagram,PM's speech today was inspiring! 🙌,2025-10-17 10:48:00
87,Instagram,"New album just dropped, it's fire 🔥",2025-10-17 06:56:00
88,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-16 00:35:00
89,YouTube,Mi proud a di new youth program 🇯🇲,2025-10-15 10:42:00
90,YouTube,Can’t believe another shooting happened last night 😡,2025-10-15 11:57:00
91,YouTube,"That movie was epic, totally worth it 🎬",2025-10-15 05:21:00
92,Instagram,"Taxes keep going up, when will it stop? 💸",2025-10-17 06:24:00
93,X,"That movie was epic, totally worth it 🎬",2025-10-15 15:20:00
94,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-15 00:08:00
95,X,Our team won the championship! 🏆,2025-10-15 06:24:00
96,X,Mi glad fi see di Reggae Boyz win dem match!,2025-10-16 08:38:00
97,YouTube,"Crime rates are going up, stay safe out there 🚨",2025-10-15 13:13:00
98,X,Our team won the championship! 🏆,2025-10-16 07:06:00
99,X,"Di road dem a bad shape, we need fix it.",2025-10-16 16:30:00
100,Instagram,Did you see that crazy goal last night? ⚽,2025-10-17 16:52:00
101,YouTube,"Budget proposals are out, what do you think? 💰",2025-10-15 10:21:00
102,Instagram,Hope the new law improves public services 📜,2025-10-17 10:16:00
103,X,"New album just dropped, it's fire 🔥",2025-10-17 14:00:00
104,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-17 23:06:00
105,YouTube,Hope the new law improves public services 📜,2025-10-16 11:33:00
106,X,Mi glad fi see di Reggae Boyz win dem match!,2025-10-16 13:05:00
107,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-17 21:50:00
108,X,Gas prices are killing me today 😤,2025-10-17 18:59:00
109,YouTube,"Budget proposals are out, what do you think? 💰",2025-10-16 18:43:00
110,X,"Water shortage again, people a suffer.",2025-10-17 03:17:00
111,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-16 20:54:00
112,X,Mi glad fi see di Reggae Boyz win dem match!,2025-10-15 16:13:00
113,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-16 09:46:00
114,YouTube,Our team won the championship! 🏆,2025-10-17 05:36:00
115,Instagram,Mi proud a di new youth program 🇯🇲,2025-10-17 04:03:00
116,X,Did you see that crazy goal last night? ⚽,2025-10-17 18:42:00
117,YouTube,Hope the new law improves public services 📜,2025-10-17 13:04:00
118,YouTube,"Crime rates are going up, stay safe out there 🚨",2025-10-15 21:17:00
119,YouTube,Government needs to do more for the people 😠,2025-10-16 01:45:00
120,X,Mi cyaan wait fi di next music festival! 🎶,2025-10-15 19:57:00
121,X,"That movie was epic, totally worth it 🎬",2025-10-16 01:44:00
122,X,Hope the new law improves public services 📜,2025-10-16 04:03:00
123,Instagram,PM's speech today was inspiring! 🙌,2025-10-17 19:10:00
124,Instagram,"That movie was epic, totally worth it 🎬",2025-10-16 00:58:00
125,X,"Taxes keep going up, when will it stop? 💸",2025-10-16 22:00:00
126,X,"Water shortage again, people a suffer.",2025-10-15 20:41:00
127,Instagram,Hope the new law improves public services 📜,2025-10-17 12:16:00
128,Instagram,"That movie was epic, totally worth it 🎬",2025-10-15 17:04:00
129,X,Did you see that crazy goal last night? ⚽,2025-10-15 22:54:00
130,X,Mi proud a di new youth program 🇯🇲,2025-10-17 11:09:00
131,Instagram,"Taxes keep going up, when will it stop? 💸",2025-10-16 12:04:00
132,X,Can’t believe another shooting happened last night 😡,2025-10-16 18:18:00
133,Instagram,Our team won the championship! 🏆,2025-10-17 03:05:00
134,Instagram,Government needs to do more for the people 😠,2025-10-17 19:55:00
135,Instagram,Mi glad fi see di Reggae Boyz win dem match!,2025-10-16 22:02:00
136,Instagram,Can’t believe another shooting happened last night 😡,2025-10-15 15:35:00
137,X,Can’t believe another shooting happened last night 😡,2025-10-15 19:58:00
138,Instagram,"Budget proposals are out, what do you think? 💰",2025-10-15 16:18:00
139,Instagram,Can’t believe another shooting happened last night 😡,2025-10-15 11:05:00
140,YouTube,"That movie was epic, totally worth it 🎬",2025-10-15 05:34:00
141,Instagram,Can’t believe another shooting happened last night 😡,2025-10-16 19:01:00
142,YouTube,PM's speech today was inspiring! 🙌,2025-10-15 14:22:00
143,X,"That movie was epic, totally worth it 🎬",2025-10-16 11:45:00
144,X,"Crime rates are going up, stay safe out there 🚨",2025-10-17 10:14:00
145,Instagram,PM's speech today was inspiring! 🙌,2025-10-15 08:34:00
146,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-17 17:38:00
147,Instagram,Gas prices are killing me today 😤,2025-10-17 21:40:00
148,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 23:37:00
149,X,Can’t believe another shooting happened last night 😡,2025-10-15 20:08:00
150,X,"Di road dem a bad shape, we need fix it.",2025-10-15 21:33:00
151,Instagram,Gas prices are killing me today 😤,2025-10-16 05:50:00
152,X,Di bus never show up again 😩,2025-10-17 06:21:00
153,Instagram,"Taxes keep going up, when will it stop? 💸",2025-10-16 02:14:00
154,X,Cost of living is ridiculous these days 😓,2025-10-15 19:15:00
155,YouTube,"Budget proposals are out, what do you think? 💰",2025-10-16 15:12:00
156,YouTube,PM's speech today was inspiring! 🙌,2025-10-17 08:37:00
157,Instagram,Our team won the championship! 🏆,2025-10-17 14:45:00
158,X,Hope the new law improves public services 📜,2025-10-17 00:17:00
159,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-15 16:21:00
160,X,Di bus never show up again 😩,2025-10-15 17:17:00
161,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-16 14:02:00
162,YouTube,Government needs to do more for the people 😠,2025-10-17 02:30:00
163,YouTube,PM's speech today was inspiring! 🙌,2025-10-16 10:07:00
164,X,Did you see that crazy goal last night? ⚽,2025-10-15 22:55:00
165,X,Government needs to do more for the people 😠,2025-10-16 01:36:00
166,Instagram,"Taxes keep going up, when will it stop? 💸",2025-10-16 18:11:00
167,YouTube,Mi glad fi see di Reggae Boyz win dem match!,2025-10-15 02:52:00
168,X,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 12:32:00
169,Instagram,PM's speech today was inspiring! 🙌,2025-10-16 06:08:00
170,X,"Water shortage again, people a suffer.",2025-10-15 19:40:00
171,X,"Di road dem a bad shape, we need fix it.",2025-10-17 15:39:00
172,Instagram,"Budget proposals are out, what do you think? 💰",2025-10-15 15:31:00
173,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-17 23:19:00
174,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-17 06:43:00
175,Instagram,"New album just dropped, it's fire 🔥",2025-10-15 12:26:00
176,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-16 16:54:00
177,Instagram,"Budget proposals are out, what do you think? 💰",2025-10-16 22:49:00
178,X,"Water shortage again, people a suffer.",2025-10-17 00:53:00
179,YouTube,Mi proud a di new youth program 🇯🇲,2025-10-17 23:45:00
180,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-17 13:23:00
181,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-16 06:43:00
182,X,Gas prices are killing me today 😤,2025-10-17 06:51:00
183,Instagram,"Taxes keep going up, when will it stop? 💸",2025-10-15 21:45:00
184,X,Mi proud a di new youth program 🇯🇲,2025-10-17 22:13:00
185,YouTube,Our team won the championship! 🏆,2025-10-17 18:05:00
186,X,"That movie was epic, totally worth it 🎬",2025-10-17 19:28:00
187,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-16 13:27:00
188,X,"New album just dropped, it's fire 🔥",2025-10-15 13:27:00
189,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-16 02:02:00
190,Instagram,Mi proud a di new youth program 🇯🇲,2025-10-15 23:01:00
191,Instagram,"New album just dropped, it's fire 🔥",2025-10-17 04:10:00
192,X,"Water shortage again, people a suffer.",2025-10-17 21:44:00
193,YouTube,"Crime rates are going up, stay safe out there 🚨",2025-10-16 22:45:00
194,X,Our team won the championship! 🏆,2025-10-15 05:18:00
195,YouTube,Gas prices are killing me today 😤,2025-10-17 00:22:00
196,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 07:15:00
197,X,Mi glad fi see di Reggae Boyz win dem match!,2025-10-17 10:41:00
198,Instagram,Can’t believe another shooting happened last night 😡,2025-10-15 12:21:00
199,X,Mi cyaan wait fi di next music festival! 🎶,2025-10-15 10:12:00
200,X,Can’t believe another shooting happened last night 😡,2025-10-15 23:29:00
201,X,Cost of living is ridiculous these days 😓,2025-10-17 18:18:00
202,YouTube,Gas prices are killing me today 😤,2025-10-15 09:56:00
203,Instagram,Government needs to do more for the people 😠,2025-10-15 15:19:00
204,Instagram,Gas prices are killing me today 😤,2025-10-16 10:32:00
205,X,"Budget proposals are out, what do you think? 💰",2025-10-17 10:16:00
206,X,"New album just dropped, it's fire 🔥",2025-10-16 02:37:00
207,Instagram,Training hard for the upcoming marathon 🏃‍♂️,2025-10-16 15:29:00
208,YouTube,"Water shortage again, people a suffer.",2025-10-15 00:44:00
209,X,Hope the new law improves public services 📜,2025-10-16 00:49:00
210,Instagram,Did you see that crazy goal last night? ⚽,2025-10-16 18:17:00
211,Instagram,Can’t believe another shooting happened last night 😡,2025-10-15 04:13:00
212,X,"That movie was epic, totally worth it 🎬",2025-10-17 12:46:00
213,Instagram,"Di road dem a bad shape, we need fix it.",2025-10-15 13:58:00
214,YouTube,"New album just dropped, it's fire 🔥",2025-10-17 02:29:00
215,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-15 20:36:00
216,YouTube,Cost of living is ridiculous these days 😓,2025-10-17 20:21:00
217,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-16 04:29:00
218,YouTube,Our team won the championship! 🏆,2025-10-17 08:19:00
219,X,Hope the new law improves public services 📜,2025-10-15 00:36:00
220,YouTube,"Budget proposals are out, what do you think? 💰",2025-10-16 07:31:00
221,YouTube,Our team won the championship! 🏆,2025-10-17 16:12:00
222,X,"Taxes keep going up, when will it stop? 💸",2025-10-16 18:54:00
223,YouTube,Cost of living is ridiculous these days 😓,2025-10-15 04:59:00
224,YouTube,"Water shortage again, people a suffer.",2025-10-15 05:47:00
225,Instagram,Cost of living is ridiculous these days 😓,2025-10-17 02:39:00
226,X,Government needs to do more for the people 😠,2025-10-16 12:58:00
227,Instagram,Our team won the championship! 🏆,2025-10-15 22:07:00
228,YouTube,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 10:28:00
229,Instagram,"Budget proposals are out, what do you think? 💰",2025-10-15 19:41:00
230,X,Training hard for the upcoming marathon 🏃‍♂️,2025-10-15 08:37:00
231,X,"Taxes keep going up, when will it stop? 💸",2025-10-17 03:41:00
232,YouTube,"New album just dropped, it's fire 🔥",2025-10-15 03:05:00
233,Instagram,Gas prices are killing me today 😤,2025-10-15 23:13:00
234,YouTube,Gas prices are killing me today 😤,2025-10-17 18:21:00
235,Instagram,Training hard for the upcoming marathon 🏃‍♂️,2025-10-16 11:17:00
236,X,Gas prices are killing me today 😤,2025-10-16 08:17:00
237,YouTube,Mi glad fi see di Reggae Boyz win dem match!,2025-10-16 02:00:00
238,YouTube,Government needs to do more for the people 😠,2025-10-15 05:48:00
239,YouTube,Gas prices are killing me today 😤,2025-10-15 12:37:00
240,X,Did you see that crazy goal last night? ⚽,2025-10-17 15:29:00
241,YouTube,Hope the new law improves public services 📜,2025-10-16 07:59:00
242,X,Mi glad fi see di Reggae Boyz win dem match!,2025-10-17 00:29:00
243,X,Government needs to do more for the people 😠,2025-10-16 18:32:00
244,X,"Di road dem a bad shape, we need fix it.",2025-10-16 05:32:00
245,X,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 04:10:00
246,YouTube,Gas prices are killing me today 😤,2025-10-17 00:28:00
247,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-16 17:19:00
248,Instagram,Mi proud a di new youth program 🇯🇲,2025-10-17 14:18:00
249,Instagram,Di bus never show up again 😩,2025-10-16 20:09:00
250,YouTube,Mi proud a di new youth program 🇯🇲,2025-10-17 03:24:00
251,Instagram,The Prime Minister announced new policies today 🇯🇲,2025-10-15 06:23:00
252,X,Government needs to do more for the people 😠,2025-10-16 22:59:00
253,X,Did you see that crazy goal last night? ⚽,2025-10-16 20:40:00
254,X,Hope the new law improves public services 📜,2025-10-15 13:17:00
255,Instagram,The Prime Minister announced new policies today 🇯🇲,2025-10-15 01:42:00
256,Instagram,"That movie was epic, totally worth it 🎬",2025-10-16 14:42:00
257,X,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 21:26:00
258,X,"New album just dropped, it's fire 🔥",2025-10-17 21:58:00
259,YouTube,Training hard for the upcoming marathon 🏃‍♂️,2025-10-15 20:45:00
260,X,PM's speech today was inspiring! 🙌,2025-10-16 11:11:00
261,Instagram,The Prime Minister announced new policies today 🇯🇲,2025-10-16 04:34:00
262,Instagram,Can’t believe another shooting happened last night 😡,2025-10-16 12:31:00
263,Instagram,"Budget proposals are out, what do you think? 💰",2025-10-15 05:19:00
264,Instagram,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 02:49:00
265,Instagram,Gas prices are killing me today 😤,2025-10-16 03:35:00
266,YouTube,Can’t believe another shooting happened last night 😡,2025-10-15 02:40:00
267,X,"Crime rates are going up, stay safe out there 🚨",2025-10-17 04:55:00
268,Instagram,"New album just dropped, it's fire 🔥",2025-10-17 17:30:00
269,X,Mi cyaan wait fi di next music festival! 🎶,2025-10-16 12:14:00
270,X,Can’t believe another shooting happened last night 😡,2025-10-16 02:05:00
271,X,The Prime Minister announced new policies today 🇯🇲,2025-10-17 03:05:00
272,Instagram,Mi proud a di new youth program 🇯🇲,2025-10-17 15:05:00
273,YouTube,Di bus never show up again 😩,2025-10-18 00:58:00
274,Instagram,"Di road dem a bad shape, we need fix it.",2025-10-16 18:43:00
275,X,Did you see that crazy goal last night? ⚽,2025-10-17 19:14:00
276,X,Mi proud a di new youth program 🇯🇲,2025-10-15 12:27:00
277,Instagram,"Water shortage again, people a suffer.",2025-10-16 05:39:00
278,Instagram,Did you see that crazy goal last night? ⚽,2025-10-15 19:53:00
279,Instagram,"Budget proposals are out, what do you think? 💰",2025-10-17 06:05:00
280,YouTube,Di bus never show up again 😩,2025-10-17 00:06:00
281,Instagram,Hope the new law improves public services 📜,2025-10-16 04:57:00
282,X,Can’t believe another shooting happened last night 😡,2025-10-15 03:34:00
283,X,"Water shortage again, people a suffer.",2025-10-17 11:15:00
284,Instagram,Mi proud a di new youth program 🇯🇲,2025-10-15 09:43:00
285,YouTube,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 08:42:00
286,YouTube,"That movie was epic, totally worth it 🎬",2025-10-15 13:40:00
287,Instagram,Hope the new law improves public services 📜,2025-10-17 21:30:00
288,Instagram,Did you see that crazy goal last night? ⚽,2025-10-15 06:10:00
289,X,"Taxes keep going up, when will it stop? 💸",2025-10-16 15:28:00
290,X,"Water shortage again, people a suffer.",2025-10-16 13:50:00
291,YouTube,Di bus never show up again 😩,2025-10-15 09:16:00
292,Instagram,Mi glad fi see di Reggae Boyz win dem match!,2025-10-16 15:24:00
293,YouTube,PM's speech today was inspiring! 🙌,2025-10-17 01:11:00
294,X,"Budget proposals are out, what do you think? 💰",2025-10-16 07:28:00
295,X,Did you see that crazy goal last night? ⚽,2025-10-15 13:20:00
296,X,"Taxes keep going up, when will it stop? 💸",2025-10-16 23:10:00
297,X,The Prime Minister announced new policies today 🇯🇲,2025-10-16 05:37:00
298,YouTube,Can’t believe another shooting happened last night 😡,2025-10-15 17:53:00
299,Instagram,"Di road dem a bad shape, we need fix it.",2025-10-16 04:45:00
300,Instagram,Our team won the championship! 🏆,2025-10-17 14:54:00
301,X,Can’t believe another shooting happened last night 😡,2025-10-16 07:44:00
302,Instagram,Did you see that crazy goal last night? ⚽,2025-10-16 12:05:00
303,Instagram,Did you see that crazy goal last night? ⚽,2025-10-15 03:50:00
304,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-17 21:25:00
305,YouTube,"Di road dem a bad shape, we need fix it.",2025-10-16 18:28:00
306,Instagram,Cost of living is ridiculous these days 😓,2025-10-15 18:57:00
307,Instagram,Mi proud a di new youth program 🇯🇲,2025-10-17 01:30:00
308,X,Cost of living is ridiculous these days 😓,2025-10-18 00:23:00
309,X,PM's speech today was inspiring! 🙌,2025-10-15 20:13:00
310,X,Gas prices are killing me today 😤,2025-10-16 12:43:00
311,YouTube,Government needs to do more for the people 😠,2025-10-15 01:37:00
312,YouTube,Mi glad fi see di Reggae Boyz win dem match!,2025-10-15 12:49:00
313,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-17 10:46:00
314,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-17 12:53:00
315,X,PM's speech today was inspiring! 🙌,2025-10-15 07:15:00
316,YouTube,Mi cyaan wait fi di next music festival! 🎶,2025-10-15 13:42:00
317,Instagram,Gas prices are killing me today 😤,2025-10-17 06:14:00
318,YouTube,"New album just dropped, it's fire 🔥",2025-10-17 15:59:00
319,YouTube,Can’t believe another shooting happened last night 😡,2025-10-16 06:03:00
320,X,Mi proud a di new youth program 🇯🇲,2025-10-16 08:46:00
321,Instagram,PM's speech today was inspiring! 🙌,2025-10-15 08:08:00
322,X,"That movie was epic, totally worth it 🎬",2025-10-15 07:21:00
323,X,"Di road dem a bad shape, we need fix it.",2025-10-17 21:16:00
324,YouTube,Cost of living is ridiculous these days 😓,2025-10-15 08:35:00
325,Instagram,Cost of living is ridiculous these days 😓,2025-10-15 22:45:00
326,YouTube,Gas prices are killing me today 😤,2025-10-15 20:50:00
327,X,Gas prices are killing me today 😤,2025-10-17 16:39:00
328,Instagram,"Taxes keep going up, when will it stop? 💸",2025-10-15 03:15:00
329,X,"Budget proposals are out, what do you think? 💰",2025-10-17 17:33:00
330,X,Hope the new law improves public services 📜,2025-10-16 13:21:00
331,YouTube,"That movie was epic, totally worth it 🎬",2025-10-17 04:19:00
332,YouTube,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 01:08:00
333,YouTube,Can’t believe another shooting happened last night 😡,2025-10-16 22:36:00
334,YouTube,Our team won the championship! 🏆,2025-10-15 06:08:00
335,YouTube,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 19:35:00
336,YouTube,"Water shortage again, people a suffer.",2025-10-17 02:50:00
337,Instagram,"Water shortage again, people a suffer.",2025-10-16 13:58:00
338,X,"That movie was epic, totally worth it 🎬",2025-10-15 00:43:00
339,X,Did you see that crazy goal last night? ⚽,2025-10-15 20:02:00
340,YouTube,PM's speech today was inspiring! 🙌,2025-10-17 05:26:00
341,Instagram,Our team won the championship! 🏆,2025-10-17 10:44:00
342,Instagram,Mi glad fi see di Reggae Boyz win dem match!,2025-10-15 20:11:00
343,X,"Water shortage again, people a suffer.",2025-10-16 09:41:00
344,YouTube,Can’t believe another shooting happened last night 😡,2025-10-15 10:14:00
345,X,Di bus never show up again 😩,2025-10-15 08:15:00
346,X,Di bus never show up again 😩,2025-10-16 11:01:00
347,X,"Water shortage again, people a suffer.",2025-10-17 20:05:00
348,Instagram,"Di road dem a bad shape, we need fix it.",2025-10-15 15:44:00
349,YouTube,Di bus never show up again 😩,2025-10-17 02:12:00
350,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-15 20:57:00
351,YouTube,Did you see that crazy goal last night? ⚽,2025-10-15 00:23:00
352,Instagram,Can’t believe another shooting happened last night 😡,2025-10-17 06:01:00
353,Instagram,Cost of living is ridiculous these days 😓,2025-10-16 00:45:00
354,YouTube,Di bus never show up again 😩,2025-10-16 08:22:00
355,YouTube,Hope the new law improves public services 📜,2025-10-16 18:45:00
356,X,PM's speech today was inspiring! 🙌,2025-10-15 08:13:00
357,Instagram,PM's speech today was inspiring! 🙌,2025-10-15 23:18:00
358,Instagram,PM's speech today was inspiring! 🙌,2025-10-15 16:24:00
359,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-16 20:30:00
360,X,Di bus never show up again 😩,2025-10-15 21:27:00
361,YouTube,Hope the new law improves public services 📜,2025-10-17 09:46:00
362,YouTube,Government needs to do more for the people 😠,2025-10-15 14:32:00
363,Instagram,"Budget proposals are out, what do you think? 💰",2025-10-17 17:39:00
364,X,"Di road dem a bad shape, we need fix it.",2025-10-16 05:03:00
365,Instagram,Mi glad fi see di Reggae Boyz win dem match!,2025-10-15 21:37:00
366,YouTube,Mi glad fi see di Reggae Boyz win dem match!,2025-10-15 16:36:00
367,Instagram,Mi glad fi see di Reggae Boyz win dem match!,2025-10-17 20:52:00
368,YouTube,"Crime rates are going up, stay safe out there 🚨",2025-10-18 00:59:00
369,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-17 10:37:00
370,Instagram,"New album just dropped, it's fire 🔥",2025-10-15 05:42:00
371,X,Cost of living is ridiculous these days 😓,2025-10-17 22:56:00
372,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 20:10:00
373,YouTube,"Water shortage again, people a suffer.",2025-10-17 15:27:00
374,Instagram,Hope the new law improves public services 📜,2025-10-17 08:38:00
375,Instagram,Mi cyaan wait fi di next music festival! 🎶,2025-10-16 20:37:00
376,X,"New album just dropped, it's fire 🔥",2025-10-16 01:55:00
377,Instagram,Training hard for the upcoming marathon 🏃‍♂️,2025-10-17 11:04:00
378,Instagram,Our team won the championship! 🏆,2025-10-16 19:25:00
379,YouTube,Mi glad fi see di Reggae Boyz win dem match!,2025-10-16 09:44:00
380,X,Di bus never show up again 😩,2025-10-15 18:15:00
381,X,Hope the new law improves public services 📜,2025-10-17 09:14:00
